材料牌号或名称,名称备注,材料种类,材料成份,分子量,材料结构,材料特性,熔点,沸点,玻璃化转变温度,密度,硬度,结晶度,分解温度,pH值,摩擦系数,粘度,弹性模量,屈服强度,抗压强度,抗张强度,抗弯强度,切变强度,冲击强度,断后伸长率,断面收缩率,表面张力,表面自由能,熔化热,蒸发热,反应热,热膨胀系数,折射率,介电常数,电阻率,导电率,磁化率,表面电位,细胞毒性 ,全身毒性   ,遗传毒性 ,免疫毒性  ,刺激与致敏性,生物降解性,血液相容性,生物力学相容性,分子生物相容性,组织相容性,凝血活性,制备/加工,备注,应用,数据来源,数据整理人,数据校对人
聚醋酸乙烯酯,"polyvinyl acetate, PVAc",,醋酸乙烯酯的聚合物,,,为无色、透明、无臭的热塑性聚合物，折射率l.467，玻璃化转变温度28℃，加热低于200℃时不变色，能溶于醋酸、丙酮、酯类、酵、氯代烃等，难溶于石油烃，在酸、碱存在下能成为水溶性高分子。PVAc生物降解缓慢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,通过溶液聚合、悬浮聚合或本体聚合等方法制得,,可用作药品的分散剂或赋形剂，输血或静脉注射装置。乙烯与醋酸乙烯酯的共聚物为橡胶状材料，生物相容性好，常用作药物释放载体，如在Ocusert体系释放毛果芸香碱超过1周，用于青光眼治疗。而在Progestasert释放黄体酮则可持续1年以上，用于生育控制,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11,李兰君,聂宇
对苯二甲酸乙二醇酯,PET,,,2万-3万,在分子的主链上含有酯基的聚合物,抗蠕变性，耐疲劳性、耐摩擦性也很好。增强PET的热变形温度220&#8451;，其制品可在120～150&#8451;下长期使用。而未增强的PET热变形温度只有85&#8451;；熔点260&#8451;，玻璃化温度69&#8451;。耐光、热、气候老化性能较好,255-260 &#8451;,,"69 &#8451;(未增强),67 &#8451(无定形);,81 &#8451;(结晶),125(取向且结晶)","1.69g/cm<sup>3</sup>,(未增强PET密度为1.35g/cm<sup>3</sup>)",,,,,,,拉伸模量14.8 GPa，弯曲模量l4 GPa,,,190 Mpa,280 MPa,,冲击强度13 kJ/m<sup>2</sup>,200%,,,,,,,,,介电常数(1MZH)3.37；介电损耗(1MZH) 0.0028,,,,,,,,,,,,,,,,,,聚对苯二甲酸乙二醇酯较多地应用在医学上，在临床上，可用作植入缝合线、网、人造血管植入体以及心脏瓣膜等,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11<br>高分子材料手册（上），杨鸣波主编，化学工业出版社，2009年第一版，P230<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P668,李兰君,聂宇
聚碳酸酯,polycarbonate，PC,,,,分子具有对称结构，分子结构中既有柔顺的碳酸酯链，又有刚性的苯环结构，这使得该材料机械特性韧而强；分子链中的羰基使得材料的电性能稍差，链中有酯基，使材料易吸湿，易水解,无臭、无毒、高度透明、呈无色或微黄色。,熔融温度225～250 &#8451;,,l49 &#8451;,1.2 g/cm<sup>3</sup>,,,>340 &#8451;,,,,,,43-88 MPa,拉伸强度66-72 MPa,95-113 MPa,,缺口冲击强度65-88 kJ/m<sup>2</sup>,80-100%,,,,,,,,,3.17,,,,,,,,,,芳香族聚碳酸酯由于及其缓慢的水解速率常用作生物惰性材料，而脂肪族聚碳酸酯常用作生物降解材料，可作为药物的缓控释放材料，药物的释放速率取决于聚碳酸酯的水解速率和微球的大小。,,,,,,,它的血液相容性较差，所以应用时要加肝素等抗凝剂。是一种可生物降解材料,聚碳酸酯和二甲基硅氧烷的共聚物可作为氧合器膜，其对氧和二氧化碳的渗透速率高于一般的有机硅膜,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11～P12-12<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P678,李兰君,聂宇
玻纤增强聚碳酸酯,,,,,,,,,,1.24-1.52 g/cm<sup>3</sup>,,,,,,,,,105-168 MPa,拉伸强度98-148 MPa,119-212 MPa,,缺口冲击强度9.8-16.3 kJ/m<sup>2</sup>,0.5-0.9%,,,,,,,,,3.31-3.8,,,,,,,,,,,,,,,,,,,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-12,李兰君,聂宇
医用聚氨醋,polyurethane，PU,,,,主链上含有氨基甲酸酯基团(-NH-CO<sub>2</sub>-C-)的一类高分子化合物,,,,,,,,耐热度80-100 &#8451;,,,,,,,抗拉强度300-500 kgf/cm<sup>2</sup>；薄膜： 纵向拉伸强度 >40 MPa，横向拉伸强度 >35 MPa,,,,300-750%；薄膜：纵向延伸率>400%，横向延伸率>450%,,,,,,,,,,,,,,,,,,,,,,,,,由含端羟基的聚醚、聚酯、聚烯烃和二异氰酸酯经逐步聚合反应而成,,医用聚氨酯大多是嵌段聚醚型聚氨酯(SPU)，由分子两端含有羟基的聚醚与二异氰酸酯反应生成分子末端为异氰酸酯的预聚体，再与低分子二元醇或二元胺通过扩链反应而制得。其软段由聚醚二醇形成，硬段由氨基甲酸酯与尿素结合而构成，而且各自形成独立的链段，呈微相分离结构。SPU强度高，弹性好，耐挠曲性优良，耐磨损、耐水解能力强，在生物环境中呈惰性，特别是其血液相容性良好，是制造心血管系统修复体和装置的良好材料，用于制作人工心脏血泵、人造血管、血液净化器的密封剂、体外循环装置的导管等。此外，它还可用于制作人工皮肤、人工软骨、缝合线、组织黏合剂及固定化酶等,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-12<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P662,李兰君,聂宇
Biomer医用聚氨酯,,,,,,,,,,,,,,,,,,,,44.2 MPa,,,,600%,,,,,,,,,,,,,,,,,,,,,,,,,,,,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P661,李兰君,聂宇
Avcothane医用聚氨酯,,,,,,,,,,,,,,,,,,,,43.4 MPa,,,,580%,,,,,,,,,,,,,,,,,,,,,,,,,,,,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P661,李兰君,聂宇
Pellethane 2363-80-A医用聚氨酯,,,,,,,,,,,,,,,,,,,,42 MPa,,,,550%,,,,,,,,,,,,,,,,,,,,,,,,,,,,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P661,李兰君,聂宇
SPEU-80B国产嵌段聚醚氨酯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,如图 国产嵌段聚醚氨酯SPEU-80B的肌肉反应；SPEU-80B.jpg),微相分离聚氨酯SPU具有优异的抗凝血性,,,,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P661,李兰君,聂宇
聚酰胺,polyamide，PA。又称尼龙,,,,主链上有酰胺基(-NHCO-)的线型热塑性聚合物,聚己内酰胺(PA6)又称聚酰胺6、尼龙6，聚已内酰胺为乳白色或微黄色透明到不透明角质状结晶性聚合物，可自由着色，具有好的柔韧性、耐磨性、自润滑性，刚度小，耐低温，熔点215℃，耐蒸煮、灭菌；易成型加工。在医疗上可用包装膜，导尿管、缝合线。常用的尼龙品种还有尼龙66、11、12、610、612、1010，46等。它们的共性为：机械性能优异，具有较高的结晶度，熔点明显，表面硬度大，耐磨耗，摩擦系数小，有自润滑性、吸震和易灭菌消毒性；具有耐冲击性，同时还具有较高的韧性；耐低温性好，又具有一定的耐热性，具有良好的生物相容性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,聚酰胺通常由二元胺与二元酸缩聚而得，其命名则由合成单体的碳原子数而定,,可用作医用包装膜、输尿管、导管、缝合线、固定化酶的材料等。与硅橡胶或多肽膜复合制作复合人工皮肤,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-12,李兰君,聂宇
医用硅橡胶,biomedical rubber,,硅橡胶是高分子量（分子量在148000以上）的聚硅氧烷的交联体,,聚硅氧烷是含有-Si-O-Si-的聚合物,具有优良的生物相容性，生理惰性和耐生物老化性能，优异的透气性和透氧性，无毒、无味,,,,,,,,,,,,,,拉伸强度 >7 MPa ，撕裂强度 >14 MPa,,,,扯断伸长率>250%,,,,,,,,,,,,,,细胞毒性&le;II级,无急性全身毒性反应，无热原反应,,,无皮内刺激反应,,溶血率<5%,,,无异常组织学反应,,聚硅氧烷一般通过烷基氯硅水解缩合而得。也可由烷基硅氧烷三聚体D<sub>3</sub>或四聚体D<sub>4</sub>水解缩合而得,当以-CH<sub>2</sub>-CH<sub>3</sub>取代-CH<sub>3</sub>时，能提高材料的耐油性和抗凝血性。加成型硅橡胶是通过乙烯基和硅氢之间的加成反应而完成硫化过程，没有硫化剂和残留的分解产物。制品透明度好，抗撕裂强度高，克服了一般硅橡胶的主要缺点，且生物相容性优于热熟化和室温熟化硅橡胶,是理想的器官代用品和可植入性的高分子材料，硅硐、天然的和人工合成的橡胶已被用于制作植入体。天然橡胶主要由橡胶树的乳液制备而成，化学式和顺式-1.4-聚异戊二烯相同。纯橡胶具有好的血液相容性。通过X射线和有机过氧化物交联生产的橡胶和用传统的硫磺处理生产的橡胶相比具有更高的血液相容性。在医疗上可用作人工脑膜、人工鼻梁、人工下颌、人工耳、人工乳房及人工睾丸等,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-13<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P660,李兰君,聂宇
聚砜,polysulfone，PSF，把双酚A型聚砜简称为聚砜,代表性的有双酚A聚砜、聚芳砜和聚醚砜之类,,,在主链中含有砜基和亚芳基的高分子化合物,密度1.24g/cm<sup>3</sup>，吸水率0.22%，摩擦系数0.4，拉伸强度72～82MPa，弯曲强度108～120MPa，缺口冲击强度8～15kJ/m2，伸长率50%～100%，玻璃化温度190℃，熔点250～280℃，连续使用温度l50℃，热变形温度(1.86MPa) 174～185℃，比热容1.5J/g，线膨胀系数(3.1～3.5)×10 4/℃，脆化温度约100℃。耐日光性良好，透光率较高，体积电阻率5×104 &Omega;cm，耐化学稳定性好，属自熄型树脂，能溶解于某些芳香烃类。在-180～140℃内有优于聚碳酸酯和聚甲醛的机械强度。韧性较好，易于加工并有较好的热稳定性。聚砜的血液相容性好，滤过性好，并可用&gamma;射线灭菌，其微孔膜主要用作血液透析膜，对代谢产物的清除率高于纤维素膜等，白蛋白不易泄漏。聚砜与聚芳酯共混所得聚酯系高分子合金膜对低分子量蛋白质的清除率高,250～280℃,,,1.24g/cm<sup>3</sup>,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,聚砜中空纤维可用于人工肝及人工肾等多种人工器官中,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-13,李兰君,聂宇
聚甲醛,polyformaldehyde，POM,有均聚甲醛和共聚甲醛之分,,,,聚甲醛因主链上有—O—R—O—结构和高度结晶，分子间存在氢键，故力学性能优异，耐疲劳性居热塑性塑料之冠，拉伸强度、弯曲强度、弹性模量都相当高。耐蠕变性好；摩擦系数小，在12.6MPa下为0.2～0.4；耐磨耗；尺寸稳定性好，表面光泽好，成型收缩率大；是一种生物惰性分子，生物相容性好,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用于制造人工心瓣膜架、人工关节及其他医用器械,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-13,李兰君,聂宇
聚乙烯醇,polyvinyl alcohol，PVA,,,,侧链上带有羟基的乙烯类聚合物,是一种水溶性高分子材料。为白色或微黄色的粉末或颗粒，溶于水及强极性溶剂如含水苯酚、二甲基亚砜中，不溶于乙醚、氯仿等一般有机溶剂和油脂中。比热容1.67 J/(kg&bull;K)。低醇解度的PVA易溶于20&#8451;的水中，水溶液稳定；完全醇解的或高度醇解的PVA在冷水中溶胀，加热到60&#8451;以上才能较快溶解，其在水中的溶解度随分子量的增加而降低，水溶液的黏度随时间延长而上升，最终出现凝胶化。分子量在30000以下的聚乙烯醇于机体无毒、无刺激、无过敏反应；分子量50000以上者长期应用对肝、肾有损害,,,,1.3-1.32 g/cm<sup>3</sup>,,,氧气中 180  &#8451;；真空中 200 &#8451;,5~7,,完全醇解 0.028-0.032 Pa&bull;s,,,,,,,,,,,,,,,,1.54 （25 &#8451;）,,,,,,,PVA低毒或无毒，可以用于口服，急性口服毒性非常低：LD<sub>50</sub>=15g/kg体重~20g/kg体重；口服PVA被肠胃吸收极少；当口服PVA后，在体内无积累，对老鼠口服无不利影响的级别是5000mg/(kg体重&bull;天)&times;90天，同时在此剂量下繁殖两代，这是生物试验中的最高的试验剂量。,,PVA不诱导机体突变,PVA的血液相容性好，3万以下分子量的PVA对机体无毒、无刺激、无过敏反应；5万以上分子量的PVA如果长期使用则对肝脏和肾脏有损害。,PVA通常不能降解，能对PVA起作用的微生物品种极少，PVA在人工培育的真菌镰刀霉（fusariumlini）作用下，最终被生物降解成二氧化碳和水。,PVA的血液相容性好，3万以下分子量的PVA对机体无毒、无刺激、无过敏反应；5万以上分子量的PVA如果长期使用则对肝脏和肾脏有损害。,,,3万以下分子量的PVA对机体无毒、无刺激、无过敏反应；5万以上分子量的PVA如果长期使用则对肝脏和肾脏有损害。,,,,PVA可加工制成纤维、薄膜、中空纤维、微胶囊、海绵体、水凝胶等不同用途的医用材料和制品，用于避孕薄膜、药膜和药物缓释及固定化酶的载体、止血剂、烧伤覆盖膜、血液过滤和血浆分离、血浆代用品等,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-13<br>高分子材料手册（上），杨鸣波主编，化学工业出版社，2009年第一版，P890<br>水溶性高分子，严瑞轩主编，化学工业出版社，2010年第二版，P30,李兰君,聂宇
聚环氧乙烷,poly(ethylene oxide)，PEO。又称聚乙二醇(PEG),,,,,是高度亲水性且不带电荷的聚合物，补体激活水平甚低，当聚合度达100时，PEO在水溶液中的柔韧性达最大。高分子材料表面附着有PEO时，可有效地排斥其他高分子物质，抑制蛋白质和血小板粘连，改善与血液接触的生物材料的生物相容性。PEO在表面的富集可通过高分子量PEO吸附、含PEO两亲性共聚物吸附、PEO的截留和PEO接枝于表面而形成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEO还可用于制作烷醇避孕药膜、药物释放和固定化酶的载体，及亲水性抗凝血聚氨酯等,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-13,李兰君,聂宇
聚乙醇酸,,,,,,,225 &#8451;,,36 &#8451;,相对密度1.5-1.7,,35-75%,,,,,6.5 GPa；10-15GPa(后增强处理PGA棒),,,57 MPa；210-270MPa(后增强处理PGA棒),弯曲强度：100-200 MPa；355-395MPa(后增强处理PGA棒)；300MPa(后增强处理PGA钉),剪切强度：200-280 MPa(后增强处理PGA棒)；240-250MPa(后增强处理PGA钉),,,,,,191 J/g (100%结晶),,,,,,,,,,PGA过快降解形成的羟基乙酸在局部堆积，造成局部pH下降致使细胞中毒甚至死亡，因此现在更常使用的是PGA和PLA的共混物或羟基乙酸与乳酸的共聚物。,,,,,PGA中的酯键易于水解，是一种可降解的医用高分子材料。具体降解速率取决于聚合物的分子量、结晶度、结晶形态、样品形态和水解的理化环境。商品化的PGA医用缝线Dexon的机械强度在体内耗损较快，一般只适合伤口愈合较快的外科手术。缝线在体内留置2周，初始强度下降约50%，4个月左右完全吸收。,,,,,,,,,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P674,李兰君,聂宇
PLLA聚左旋乳酸,,,,,,,170-180 &#8451;,,56 &#8451;,,,,200 &#8451;,,,,3.6-5.1 GPa；5.1 GPa(板),,,113-142 MPa；400-500 MPa(自增强),弯曲强度：300 MPa；57-72 MPa(板)；240-260 MPa(自增强),,,20-30%,,,,97.3 J/g (100%结晶),,,,,,,,,,,,,,,,,,,,,,,,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P675,李兰君,聂宇
PDLA聚右旋乳酸,,,,,,,180 &#8451;,,,,,,200 &#8451;,,,,,,,,,,,20-30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P675,李兰君,聂宇
DLPLA外消旋聚乳酸,,,,,,,,,50-60 &#8451;,,,,185-200 &#8451;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P675,李兰君,聂宇
PCL聚己内酯,,,,,,,57 &#8451;,,&#150;60 &#8451;,,,,350 &#8451;,,,,350 MPa,,,,,,,,,,,,,,,,,,,,,,PCL作为生物材料可经受&gamma;射线消毒，其本体材料及降解产物对肌体均不产生毒副作用。,,,PCL在埋植部位无炎症、过敏及水肿反应。,在生物体内，PCL可被彻底降解并被吸收代谢，并且由于其分子链比较规整且柔顺，结晶性很强，疏水性很好，因此降解速率很慢。利用PCL的这些特点，可将其作为长效的可植入性药物载体。PCL在体内的降解时间为2-4年，降解速率比PLA及PGA慢，且分子质量越大，吸收时间越长，10万左右相对分子质量的PCL在体内完全被吸收需要3年时间。,,,,,,,,,材料科学与工程手册，师昌绪，2004年版，P12-26<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P676,李兰君,聂宇
聚&beta;-羟基丁酸酯,,,,,,,177 &#8451;(均聚物)；180 &#8451;(注塑),,9 &#8451;(均聚物)；10 &#8451;(注塑),,,60%（注射）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHB无毒、无免疫原性、无致突变性,PHB在体内发生缓慢降解，其最终降解产物为3-羟基丁酸，是人体血液中一种普通代谢物，不会给人体带来任何毒性作用。,,,,,,,,,材料科学与工程手册，师昌绪，2004年版，P12-27<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P677,李兰君,聂宇
聚对二氧六环酮,,,,,,,110 &#8451;(注塑),,16 &#8451;,,,37%,,,,,,,,抗拉强度：552 Pa（单丝纤维）,,,,30%（单丝纤维）,,,,,,,,,,,,,,,,,,,PDS的降解主要是由于水解作用而引起的，其降解产物与人体代谢产物相同，不会在机体内蓄积，在体内降解时间为12-240天，终产物大部分从呼吸道排出，少量从尿及粪便中排出。,,,,,,,,,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P677,李兰君,聂宇
P(CPP-SA),"聚1,3-双（对羧基苯氧基）丙烷-癸二酸",,,,,,如图 P（CPP-SA）的理化性质；PCPP-SA property.jpg),,如图 P（CPP-SA）的理化性质；PCPP-SA property.jpg),,,如图 P（CPP-SA）的理化性质；PCPP-SA property.jpg),,,,,,,,,,,,,,,,如图 P（CPP-SA）的理化性质；PCPP-SA property.jpg),,,,,,,,,,,,,,,聚芳香脂肪酸酐的单体一端是芳香羧酸，另一端是脂肪羧酸，其聚合物克服了脂肪族芳香族共聚酸酐降解的不完全线性的缺点，降解时间为几天到几个月，呈现零级降解动力学。,,,,,,,,,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P681,李兰君,聂宇
医用纳米高分子材料,biomedical nanomaterials of polymer。纳米级高分子材料也可以称为高分子纳米微粒或高分子超微粒,,,,,聚合物微粒尺寸减少到纳米量级后使高分子的特性发生了很大的变化，主要表现在表面效应和体积效应两方面，表面效应是指超细微粒的表面原子数与总原子数之比随着粒径变小而急剧增大，表面原子的晶场环境和结合能与内部原子不同，因缺少相邻原子而呈现不饱和状态，具有很大的活性；体积效应是由于超微粒包含的原子数减少而使带电能级间隙加大，物质的一些物理性质因为能级间歇的不连续而发生异常。这两种效应使高分子材料具有了如下特性：表面积激增，粒子上的官能团密度和选择性吸附能力变大，达到平衡的时间大大缩短，粒子的胶体稳定性显著提高,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,主要通过微乳液聚合的方法得到,,纳米级高分子材料的应用已涉及免疫分析、药物控释载体介入性诊疗、吸附分离、基因治疗中基因导入的载体等方面。免疫分析根据其标识物的不同可以分为荧光免疫分析、放射性免疫分析和酶联分析等。在免疫分析中，载体材料的选择十分关键。纳米级聚合物粒子，尤其是某些具有亲水性表面的粒子，对非特异性蛋白的吸附量很小，因此已被广泛地作为新型的标记物载体来使用。在药物控制释放方面，纳米级聚合物粒子也有重要的应用价值。许多研究结果已经证实，某些药物只有在特定部位才能发挥其药效，同时它又易被消化液中的某些生物大分子所分解。因此，口服这类药物的药效并不理想。用某些生物可降解的高分子材料对药物进行保护并控制药物的释放速度，药物经过载体运送后，药效损伤很小，而且药物还可以有效控制释放，延长了药物的作用时间。作为药物载体高分子材料主要有聚乳酸、乳酸-乙醇酸共聚物、集丙烯酸酯类等。据报道，纳米级高分子材料制成的药物载体与各类药物，无论是亲水性的、疏水性的药物或者是生物大分子制剂，都有良好的相容性，因此能够负载或包覆多种药物，同时可以有效地控制药物的释放速度。纳米级高分子粒子还可以用于某些疑难病的介入性诊断和治疗。由于纳米粒子比红血球(6～9&mu;m)小得多，可以在血液中自由运动，因此可以注入各种对机体无害的纳米粒子到人体的各部位，检查病变和进行治疗。例如，载有抗生素或抗癌制剂的纳米级高分子粒子可以用动脉输送给药的方法进入体内，用于某些特定器官的临床治疗。载有药物的纳米球还可以制成乳液进行肠外或肠内的注射；也可以制成疫苗进行皮下或肌肉内注射。纳米级聚合物粒子可以直接用于生物物质的吸附分离。将纳米颗粒压成薄片制成过滤器，由于过滤孔径为纳米量级，在医疗工业中可用于血清的消毒(引起人体发病的病毒尺寸一般为几十纳米)。通过在纳米柱子表面引入羧基、羟基、磺酸基、胺基等基团，就可以利用静电作用或氢键作用使纳米粒子与蛋白质、核酸等生物大分子产事相互作用，导致共沉降而达到分离生物大分子的目的。当条件改变时，又可以使生物大分子从纳米粒子上解吸附，使生物大分子得到回收。基因治疗载体，基因治疗是治疗学的巨大进步，质粒DNA插入目的细胞后，可修复遗传错误或可产生治疗因子(如多肽、蛋白质、抗原等)。从基因水平治疗疾病，大大超越了对症治疗的效果。基因治疗所面临的最大挑战是：首先要使质粒DNA分布于特定的细胞，再使DNA到达特定的细胞器-细胞核内，最后还要使其插入特定的DNA位点。利用纳米技术，可使DNA通过主动靶向作用定位于细胞；将质粒DNA浓缩至50～200nm大小且带上负电荷，有助于其对细胞核的有效入侵，而最后质粒DNA插入细胞核DNA的准确位点则取决于纳米粒子的大小和结构。此时的纳米粒子是DNA本身所组成，但有关它的物理化学特性目前研究甚少。,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-13～P12-14,李兰君,聂宇
中空纤维膜细胞组织复合材料,hollow fibermembrane tissue cell composite,,将肝细胞、胰岛细胞和制造荷尔蒙的组织生长在中空纤维膜的外侧而形成的复合材料。中空纤维膜管通常由醋酸纤维素和芬酮制成,,是一种半透膜,流经中空纤维膜管内的血液，可通过壁膜渗透向壁外的细胞或组织提供葡萄糖、氧和营养物质以维持其存活，壁外的细胞可释放胰岛素(胰岛细胞)或荷尔蒙(制造荷尔蒙)的组织，通过壁膜渗透入血液，从而起到调整机体的血糖和荷尔蒙作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这种复合材料常结合血液透析使用，以通过纤维壁外的细胞，如肝细胞，清除血液中的有毒物质,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-14,李兰君,聂宇
胶原硫酸软骨素上皮细胞复合材料,collagenchondroitin sulfate epitheliel cell composite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,主要用作烧伤皮肤的掩膜。其结构中多孔的胶原硫酸软骨素薄膜可作为培养上皮细胞的基质，当覆盖于烧伤皮肤的创面后，能够着床诱导新皮生成和阻滞创口收缩；硅橡胶层起着防止创口失水、感染，并赋予脆弱的多孔共聚膜以足够的强度。这种皮肤掩膜在创面上可保持50～60d，随着着床时间增加，胶原硫酸软骨素共聚物也被逐步降解吸收，创面愈合后可完整地取下硅橡胶膜，已临床用于大面积深度烧伤的治疗，取得了显著的疗效,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-14,李兰君,聂宇
生物衍生材料,biolagically derived materials，又称生物再生材料,,由经过特殊处理的天然生物组织所形成的生物医学材料,,,生物组织可取自同种或异种动物体的组织；特殊处理包括维持组织原有构型而进行的固定、灭菌和消除抗原性的较轻微的处理，以及拆散原有构型、重建新的物理形态的强烈处理。前者如经戊二醛处理固定的猪心瓣膜、牛心包、牛颈动脉、人脐动脉以及冻干的骨片、猪皮、牛皮、羊膜、胚胎皮等；后者如用再生的胶原、弹性蛋白、透明质酸、硫酸软骨素和壳聚糖等构成的粉体、纤维、膜、海绵体等。由于经过处理的生物组织已失去生命力，生物衍生材料是无生命活力的材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,由于生物衍生材料或是具有类似于自然组织的构型和功能，或是其组成类似于自然组织，在维持人体动态过程的修复和替换中具有重要的作用,主要用作人工心瓣膜、血管修复体、皮肤掩膜、纤维蛋白制品、骨修复体、巩膜修复体、鼻种植体、血液唧筒、血浆增强剂和血液透析膜等,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-14,李兰君,聂宇
膜材料,membrane materials,,,,,生物体内有许多种膜，如细胞膜、基膜、腹膜和皮肤等，起到渗透、分离物质、保护机体和参与生命过程的作用。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,医用膜是模拟生物膜的某些功能而人工合成的膜，当生物体发生不能再生性的功能障碍时，可用合成膜弥补这种功能。已实用化的医用功能膜由医用高分子制成，主要有：血液净化、透析、过滤、血浆分离、膜型人工肺以及富氧膜等，虽然这些膜已在临床中应用，但在生物相容性上仍存在一定问题，故常需配合一些药物，如肝素等使用，并需不断改进。生物技术的发展已促使膜的研究向更高水平发展，人类已开始在分子水平上合成细胞膜。,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-14,李兰君,聂宇
中空纤维,hollow fiber,,类似于植物纤维的中空纤维微管，一种医用膜材料,,其结构可为均相、不对称和微孔膜，根据需清除物质的分子量大小及应用方法选用,中空纤维膜的特点是效率高且可自支撑。效率高是因为它们具有高的堆积密度和与血液接触有效面积大，例如，直径为100&mu;m的中空纤维在0.3m<sup>3</sup>的空间中堆砌，其表面积可达500m<sup>2</sup>，远远高于其他形态的膜装置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-14,李兰君,聂宇
